year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
2000,3,688500,5502,18865,18973
2001,3,1965349,10148,18703,18973
2002,3,1496439,11155,18937,18973
2003,3,233976,2220,18916,18973
2004,3,302923,3207,18886,18973
2005,3,181327,1608,18714,18973
2006,3,84924,795,18378,18973
2007,3,850790,7217,18964,18973
2008,3,2399184,12694,18903,18973
2009,3,1281143,9686,18930,18973
2010,3,693111,5260,18882,18973
2011,3,538965,3639,18460,18973
2012,3,2321117,9007,16050,18973
2013,3,1535446,7694,18973,18973
2014,3,294711,1882,18972,18973
2015,3,40814,296,18973,18973
2016,3,65930,489,18973,18973
2017,3,36030,291,18973,18973
2018,3,30821,242,18973,18973
2019,3,5000,41,18973,18973
2020,3,25936,183,18426,18973
2021,3,317308,2306,18965,18973
2022,3,37298,254,18973,18973
2023,3,30669,207,18971,18973
